z,hybrid_u0,hybrid_u1,hybrid_u2
5.276769531365438581e+00,-1.945452028552396018e-01,3.894856546310596634e-01,4.695076830018851122e-01
5.308185457901336335e+00,-1.866704541453949040e-01,3.919155191711650166e-01,4.792678228915963068e-01
5.339601384437234088e+00,-1.792020486227393072e-01,3.922356731293388243e-01,4.861173769864912675e-01
5.371017310973131842e+00,-1.721090767572572844e-01,3.905716876035542628e-01,4.901701097230268811e-01
5.402433237509030484e+00,-1.653594895627631123e-01,3.870601112123219223e-01,4.915580271044601712e-01
5.433849164044928237e+00,-1.589208087321230534e-01,3.818463955506021801e-01,4.904291242931022032e-01
5.465265090580825991e+00,-1.527607821843159908e-01,3.750828132349767752e-01,4.869450406024793399e-01
5.496681017116723744e+00,-1.468479773757244977e-01,3.669263978366422707e-01,4.812786583600923707e-01
5.528096943652621498e+00,-1.411523064291256846e-01,3.575369333407957262e-01,4.736116814282295140e-01
5.559512870188520139e+00,-1.356454788395114464e-01,3.470750187307958812e-01,4.641322279142783835e-01
5.590928796724417893e+00,-1.303013791907741969e-01,3.357002309267814733e-01,4.530324698189235333e-01
5.622344723260315646e+00,-1.250963689295812586e-01,3.235694066667944013e-01,4.405063501141076587e-01
5.653760649796213400e+00,-1.200095127650005061e-01,3.108350610623004107e-01,4.267474050722784851e-01
5.685176576332111154e+00,-1.150227316725369042e-01,2.976439575491180434e-01,4.119467166477375764e-01
5.716592502868009795e+00,-1.101208857636380711e-01,2.841358408493067089e-01,3.962910164049684991e-01
5.748008429403907549e+00,-1.052917914285513845e-01,2.704423414186847285e-01,3.799609589615742800e-01
5.779424355939805302e+00,-1.005261781727327802e-01,2.566860567354597999e-01,3.631295792250455179e-01
5.810840282475703056e+00,-9.581759145556202617e-02,2.429798117420423620e-01,3.459609439070156500e-01
5.842256209011600809e+00,-9.116224862528145290e-02,2.294260978344626334e-01,3.286090039421584730e-01
5.873672135547499451e+00,-8.655885575150858158e-02,2.161166870472079060e-01,3.112166505628752855e-01
5.905088062083397205e+00,-8.200839381475866219e-02,2.031324155454932168e-01,2.939149739228809066e-01
