z,reference_u0,reference_u1
1.143539725906684602e-02,-1.056292099543944263e-02,1.970531978833935383e-01
1.156106096521043736e-02,-1.067887744850008411e-02,1.969993629459306783e-01
1.168672467135402869e-02,-1.079485905577395703e-02,1.969450622483939761e-01
1.181238837749762176e-02,-1.091086583073512181e-02,1.968902959067814762e-01
1.193805208364121309e-02,-1.102689778662793024e-02,1.968350640377455885e-01
1.206371578978480442e-02,-1.114295493646704979e-02,1.967793667585930606e-01
1.218937949592839576e-02,-1.125903729303747228e-02,1.967232041872856996e-01
1.231504320207198709e-02,-1.137514486889451386e-02,1.966665764424405938e-01
1.244070690821558016e-02,-1.149127767636384453e-02,1.966094836433307791e-01
1.256637061435917149e-02,-1.160743572754148814e-02,1.965519259098854887e-01
1.269203432050276283e-02,-1.172361903429384837e-02,1.964939033626904863e-01
1.281769802664635416e-02,-1.183982760825770530e-02,1.964354161229888707e-01
1.294336173278994723e-02,-1.195606146084025184e-02,1.963764643126811038e-01
1.306902543893353856e-02,-1.207232060321910237e-02,1.963170480543257879e-01
1.319468914507712989e-02,-1.218860504634231012e-02,1.962571674711397762e-01
1.332035285122072123e-02,-1.230491480092838277e-02,1.961968226869989507e-01
1.344601655736431256e-02,-1.242124987746631368e-02,1.961360138264383046e-01
1.357168026350790563e-02,-1.253761028621559227e-02,1.960747410146527481e-01
1.369734396965149696e-02,-1.265399603720622837e-02,1.960130043774972464e-01
1.382300767579508829e-02,-1.277040714023877470e-02,1.959508040414875696e-01
1.394867138193867963e-02,-1.288684360488435987e-02,1.958881401338003758e-01
1.407433508808227096e-02,-1.300330544048469185e-02,1.958250127822740438e-01
1.419999879422586403e-02,-1.311979265615210825e-02,1.957614221154088119e-01
1.432566250036945536e-02,-1.323630526076958677e-02,1.956973682623674715e-01
1.445132620651304670e-02,-1.335284326299077812e-02,1.956328513529755897e-01
1.457698991265663803e-02,-1.346940667124003205e-02,1.955678715177221749e-01
1.470265361880023110e-02,-1.358599549371242686e-02,1.955024288877600935e-01
1.482831732494382243e-02,-1.370260973837380235e-02,1.954365235949064306e-01
1.495398103108741376e-02,-1.381924941296078929e-02,1.953701557716429893e-01
1.507964473723100510e-02,-1.393591452498084415e-02,1.953033255511168464e-01
1.520530844337459643e-02,-1.405260508171227857e-02,1.952360330671407129e-01
